first_name,last_name,emp_no,birth_date,from_date,to_date,title
Hilari,Morton,10095,1965-01-03,1994-03-10,9999-01-01,Senior Staff
Ohad,Esposito,10122,1965-01-19,1998-08-06,9999-01-01,Technique Leader
Dipayan,Seghrouchni,10291,1965-01-23,1987-03-30,9999-01-01,Senior Staff
Kokou,Iisaka,10476,1965-01-01,1987-09-20,9999-01-01,Senior Staff
Teunis,Noriega,10663,1965-01-09,1999-02-12,9999-01-01,Technique Leader
Lech,Himler,10762,1965-01-19,1992-01-21,9999-01-01,Senior Staff
Juyoung,Seghrouchni,10933,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
Keiichiro,Glinert,12155,1965-01-21,1993-09-16,9999-01-01,Engineer
Rasiah,Sudkamp,12408,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
Morrie,Schurmann,12643,1965-01-30,1998-12-31,9999-01-01,Staff
Kazuhiko,Sidou,13499,1965-01-16,1991-09-01,9999-01-01,Technique Leader
Denny,Tchuente,14075,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
Sudhanshu,Demian,14104,1965-01-03,1994-07-23,9999-01-01,Senior Staff
Magdalena,Cannard,14127,1965-01-10,1994-04-22,9999-01-01,Engineer
Caolyn,Setiz,14158,1965-01-22,1990-02-06,9999-01-01,Senior Staff
Sastry,Marrevee,14476,1965-01-19,1999-09-25,9999-01-01,Engineer
Nakhoon,Luga,14907,1965-01-14,1986-12-18,9999-01-01,Senior Staff
Nikolaos,Kruskal,15050,1965-01-18,1990-12-17,9999-01-01,Engineer
Bouchung,Bugrara,15058,1965-01-30,1990-06-18,9999-01-01,Senior Staff
Arvin,Rabejac,15413,1965-01-17,1994-01-01,9999-01-01,Engineer
Remmert,Schahn,16461,1965-01-14,1986-09-06,9999-01-01,Senior Staff
Gaurav,Swick,16528,1965-01-21,1996-05-07,9999-01-01,Assistant Engineer
Morris,Garigliano,17013,1965-01-15,1995-05-24,9999-01-01,Senior Staff
Berry,DeMori,17206,1965-01-02,1992-12-27,9999-01-01,Engineer
Yaghout,Kenevan,17369,1965-01-31,2000-09-15,9999-01-01,Engineer
Zengping,Boreale,17447,1965-01-11,1998-12-16,9999-01-01,Staff
Gennady,Roison,17731,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
Filipp,Carrere,17970,1965-01-06,1989-01-09,9999-01-01,Technique Leader
Mabhin,Calkin,17988,1965-01-31,1989-11-30,9999-01-01,Engineer
Adil,Matzke,18021,1965-01-07,1987-05-08,9999-01-01,Engineer
Filipp,Rousseau,18424,1965-01-19,1995-06-07,9999-01-01,Engineer
Stafford,Honglei,18583,1965-01-03,1998-08-16,9999-01-01,Staff
Surveyors,Crouzet,18617,1965-01-21,1989-04-24,9999-01-01,Senior Staff
Taiji,Jarecki,18810,1965-01-09,1991-06-27,9999-01-01,Engineer
Elzbieta,Morris,19236,1965-01-24,1988-07-12,9999-01-01,Engineer
Satoru,Yoshizawa,19350,1965-01-19,1994-03-27,9999-01-01,Senior Staff
Ziva,Kowalchuk,19803,1965-01-30,1987-06-13,9999-01-01,Engineer
Utz,Heuter,20100,1965-01-18,1986-06-15,9999-01-01,Senior Staff
Kazunori,Peak,20128,1965-01-23,1999-08-13,9999-01-01,Senior Staff
Rafael,Skafidas,20129,1965-01-10,1991-03-28,9999-01-01,Engineer
Vidar,Demri,20248,1965-01-12,1999-12-31,9999-01-01,Staff
Candida,Benveniste,20313,1965-01-24,1999-01-20,9999-01-01,Engineer
Christoph,Trystram,20500,1965-01-30,1993-10-15,9999-01-01,Senior Staff
Otmar,Rothenberg,20885,1965-01-21,1989-03-14,9999-01-01,Engineer
Jianhui,Cangellaris,21181,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
Piyush,Danecki,21188,1965-01-21,2000-01-08,9999-01-01,Engineer
Yongmin,Lanteri,21546,1965-01-01,2002-03-19,9999-01-01,Senior Staff
Karsten,Azadmanesh,21843,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
Mohammed,Brizzi,21909,1965-01-04,1991-12-28,9999-01-01,Senior Staff
Huai,Birch,22185,1965-01-29,2002-06-12,9999-01-01,Assistant Engineer
Perla,Jumpertz,22415,1965-01-20,1994-08-24,9999-01-01,Senior Staff
Jasminko,Bresenham,22451,1965-01-27,1994-01-19,9999-01-01,Senior Staff
Barry,Unno,22455,1965-01-06,1990-11-16,9999-01-01,Senior Staff
Manibrata,Genther,22926,1965-01-01,1988-01-15,9999-01-01,Engineer
Hilari,Fairtlough,23396,1965-01-02,1986-12-15,9999-01-01,Technique Leader
Jaana,Perez,24080,1965-01-26,1996-03-11,9999-01-01,Technique Leader
Roddy,Rubsam,24205,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
Lubomir,Wroclawski,24377,1965-01-25,1993-07-25,9999-01-01,Engineer
Zhonghui,Conta,24394,1965-01-04,1994-09-10,9999-01-01,Staff
Anwar,Passafiume,24553,1965-01-12,1987-01-30,9999-01-01,Senior Staff
Cordelia,Gischer,24571,1965-01-20,1989-03-14,9999-01-01,Engineer
Ingmar,Basawa,25488,1965-01-19,1991-11-09,9999-01-01,Senior Staff
Nevin,Rodham,26629,1965-01-28,1998-12-14,9999-01-01,Senior Staff
Jiakeng,Kalorkoti,26671,1965-01-21,1994-12-25,9999-01-01,Engineer
Zongyan,Dalphin,26788,1965-01-25,1988-04-23,9999-01-01,Engineer
Wanqing,Krohm,27331,1965-01-19,1991-01-22,9999-01-01,Senior Staff
Piyawadee,Leppanen,27378,1965-01-28,1999-02-25,9999-01-01,Senior Staff
Shuji,Kandlur,27620,1965-01-25,1990-03-02,9999-01-01,Engineer
Manu,Rosiles,27686,1965-01-28,1998-03-03,9999-01-01,Senior Staff
Falguni,Pezzoli,27699,1965-01-15,1996-12-23,9999-01-01,Engineer
Tooru,Veldwijk,27767,1965-01-27,1993-11-21,9999-01-01,Senior Staff
Xinglin,Mitsuhashi,28193,1965-01-29,1988-12-14,9999-01-01,Engineer
Chenxi,Sundgren,28974,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
Tua,Giveon,28988,1965-01-18,1998-09-09,9999-01-01,Technique Leader
Xumin,Thorensen,29130,1965-01-06,1998-04-26,9999-01-01,Staff
Gilbert,Calkin,29265,1965-01-14,1988-03-21,9999-01-01,Senior Staff
Satoru,Vidal,29380,1965-01-30,1998-05-02,9999-01-01,Assistant Engineer
Valery,Mersereau,29418,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
Kolar,Steenbeek,29679,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
Jouko,Hellwagner,29782,1965-01-29,2000-10-23,9999-01-01,Senior Engineer
Pranay,Giarratana,29954,1965-01-27,1992-09-29,9999-01-01,Senior Engineer
Kousuke,Vecchio,30007,1965-01-24,1990-02-23,9999-01-01,Engineer
Tetsushi,Conta,30035,1965-01-08,1995-07-04,9999-01-01,Senior Staff
Mayuko,Skafidas,30154,1965-01-26,1999-04-19,9999-01-01,Technique Leader
Leon,Potthoff,30182,1965-01-26,1985-12-08,9999-01-01,Engineer
Randi,Avouris,30465,1965-01-28,1986-07-16,9999-01-01,Engineer
Sailaja,Chvatal,30484,1965-01-11,1999-05-18,9999-01-01,Staff
Gudjon,Majewski,30695,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
Yakkov,Samarati,30938,1965-01-06,1997-10-10,9999-01-01,Senior Staff
Divine,Sidhu,31147,1965-01-04,1989-07-05,9999-01-01,Senior Staff
Leandro,Gist,31188,1965-01-12,1993-02-03,9999-01-01,Technique Leader
Abdelwaheb,Dulin,31207,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
